RECORD #(ITEM),LOCATION,LOUTDATE,TOT CHKOUT,TOT RENEW,YTDCIRC,TOTAL CIRC,I TYPE,Circ,RECORD #(BIBLIO),245,99,IsText
i39962039,wstkg,8/28/2008 15:54,3,0,0,3,0,3,b29362490,Peace skills : a manual for community mediators / Ronald S. Kraybill with Alice Frazer Evans and Robert A. Evans.,BF637.N4K73 2001,n
i41271889,wstkg,10/22/2012 22:23,5,6,0,5,0,6,b30100343,Negotiating at an uneven table : developing moral courage in resolving our conflicts / Phyllis Beck Kritek.,BF637.N4K75 2002,n
i27514560,wstkg,4/27/2004 15:25,12,4,0,12,0,12,b23353016,The art of bargaining / Richard Ned Lebow.,BF637.N4L43 1996,n
i45184793,wstkg,1/14/2009 16:55,2,0,0,2,0,2,b32898599,The book of agreement : 10 essential elements for getting the results you want / Stewart Levine.,BF637.N4L45 2002,n
i20112439,wstkg,1/14/2005 12:16,9,9,0,9,0,9,b17190344,Power negotiating tactics and techniques / David V. Lewis.,BF637.N4L48,n
i35144634,wstkg,5/1/2014 16:20,14,9,0,14,0,14,b26640508,Negotiating and influencing skills : the art of creating and claiming value / Brad McRae.,BF637.N4M39 1998,n
i63073742,wstkg,10/26/2011 16:47,2,4,0,2,0,4,b4809870x,"Bargaining with the devil : when to negotiate, when to fight / Robert Mnookin.",BF637.N4M58 2010,n
i26755208,wstkg,11/27/2013 8:22,15,14,0,15,0,15,b22565218,Bargaining games : a new approach to strategic thinking in negotiations / J. Keith Murnighan.,BF637.N4M8 1992,n
i25641840,wstkg,7/29/2013 14:26,10,5,0,10,0,10,b21739237,"Cognition and rationality in negotiation / Margaret A. Neale, Max H. Bazerman.",BF637.N4N42 1991,n
i27330357,wstkg,  -  -  ,5,0,0,5,0,5,b23187037,"Negotiation as a social process / Roderick M. Kramer, David M. Messick, editors.",BF637.N4N425 1995,n
i2565293x,wstkg,1/19/2009 14:11,18,4,0,18,0,18,b2174712x,"Negotiation : strategies for mutual gain : the basic seminar of the Harvard Program on Negotiation / Lavinia Hall, editor.",BF637.N4N44 1993,n
i55102840,bstkg,12/16/2009 16:13,5,2,1,4,0,5,b40185187,Negotiation theory and research / edited by Leigh L. Thompson.,BF637.N4N445 2006,n
i1466009x,lstkg,  -  -  ,4,0,0,4,0,4,b13822470,"Fundamentals of negotiating, by Gerard I. Nierenberg.",BF637.N4N5 1973,n
i5051183x,wstkg,7/29/2013 14:26,3,5,0,3,0,5,b36403222,The complete negotiator / Gerard I. Nierenberg.,BF637.N4N5 1986,n
i62111930,bstkg,2/2/2010 14:49,2,5,0,2,0,5,b47187670,"The new art of negotiating : how to close any deal / Gerard I. Nierenberg, Henry H. Calero.",BF637.N4N5 2009,n
i26301933,wstkg,  -  -  ,7,1,0,7,0,7,b22205810,"Negotiation in social conflict / Dean G. Pruitt, Peter J. Carnevale.",BF637.N4P79 1993,n
i55707051,wstkg,4/28/2016 10:22,4,1,0,4,0,4,b22205810,"Negotiation in social conflict / Dean G. Pruitt, Peter J. Carnevale.",BF637.N4P79 1993,n
i47157252,kcstk,11/9/2011 22:36,3,5,0,3,0,5,b34557763,The art and science of negotiation / Howard Raiffa.,BF637.N4R3,n
i2036037x,wstkg,10/30/2007 10:40,9,7,0,9,0,9,b17411178,The art and science of negotiation / Howard Raiffa.,BF637.N4R34,n
i20360393,lstkg,11/8/2011 18:36,1,4,0,2,0,4,b17411178,The art and science of negotiation / Howard Raiffa.,BF637.N4R34,n
i5073474x,hstk ,  -  -  ,0,0,0,0,0,0,b36497071,The art and science of negotiation / Howard Raiffa.,BF637.N4R34 2003,n
i25417770,wstkg,1/14/2005 12:17,9,7,0,9,0,9,b21544724,Effective negotiation : a guide to dialogue management and control / Bernard A. Ramundo.,BF637.N4R36 1992,n
i51754939,wstkg,12/7/2016 13:13,8,4,1,7,0,8,b37420306,"The expert negotiator : strategy, tactics, motivation, behaviour, leadership / Raymond Saner.",BF637.N4S2313 2005,n
i60936356,wstkg,7/15/2010 19:02,2,0,0,2,0,2,b45382633,"The expert negotiator : strategy, tactics, motivation, behaviour, leadership / Raymond Saner.",BF637.N4S2313 2008,n
i77251350,wstkg,  -  -  ,0,0,0,0,0,0,b61094249,"The expert negotiator : [strategy, tactics, motivation, behaviour, leadership] / Raymond Saner.",BF637.N4S2313 2012,n
i12487120,wstkg,3/28/2012 18:16,20,15,0,21,0,21,b12008163,The strategy of conflict.,BF637.N4S3,n
i41988450,hstk ,9/25/2013 15:22,3,2,1,2,0,3,b30604436,The strategy of conflict.,BF637.N4S3,n
i12487132,wstkg,1/15/2014 17:42,20,20,1,19,0,20,b12008175,The strategy of conflict.,BF637.N4S3 1970,n
i44234806,ustk ,1/8/2016 9:38,2,1,0,2,0,2,b32471002,The strategy of conflict,BF637.N4S32,n
i45516650,wstkg,11/29/2007 19:22,2,1,0,2,0,2,b33209601,"How Germans negotiate : logical goals, practical solutions / W.R. Smyser.",BF637.N4S59 2003,n
i19771988,wstkg,10/22/2012 22:23,7,3,0,7,0,7,b16883883,The dynamics of effective negotiation / Donald B. Sparks.,BF637.N4S65,n
