RECORD #(ITEM),LOCATION,LOUTDATE,TOT CHKOUT,TOT RENEW,YTDCIRC,TOTAL CIRC,I TYPE,Circ,RECORD #(BIBLIO),245,99,IsText
i71985219,ustk ,2015-11-12 11:41,3,3,0,3,0,3,b57509761,Canada 1911 : the decisive election that shaped the country / Patrice Dutil and David MacKenzie.,F1033.D97 2011,n
i80324691,wres3,2015-11-16 9:12,2,0,0,2,3,4,b57509761,Canada 1911 : the decisive election that shaped the country / Patrice Dutil and David MacKenzie.,F1033.D97 2011,n
i35915833,wstkg,2014-07-23 17:05,6,0,0,6,0,6,b26907859,"My dearest wife : the private and public lives of James David Edgar and Matilda Ridout Edgar / Maud J. McLean, Robert M. Stamp.",F1033.E34M35 1998.,n
i16527823,wstkg,2011-03-21 17:55,27,16,1,26,0,27,b15303020,"The Canadian contingents and Canadian imperialism. A story and a study, by W. Sanford Evans.",F1033.E92,n
i16527835,wstkg,2013-10-01 10:36,9,7,0,9,0,9,b15303032,"The Federation of Canada, 1867-1917 : four lectures delivered in the University of Toronto in March, 1917, to commemorate the fiftieth anniversary of the Federation / by George M. Wrong, Sir John Willison, Z.A. Lash, R.A. Falconer.",F1033.F29,n
i16527860,wstkg,2014-07-04 13:36,7,11,0,7,0,11,b15303044,"Sandford Fleming, empire builder, by Lawrence J. Burpee.",F1033.F6B8,n
i46345498,kcstk,  -  -  ,0,0,0,0,0,0,b33903815,Canadian addresses / by the Hon. George E. Foster   edited by Arnold Winterbotham,F1033.F6C3,n
i46345504,kcstk,2014-03-03 9:55,3,0,0,3,0,3,b33903827,The memoirs of the Rt. Hon. Sir George Foster,F1033.F6W3,n
i47067342,kcstk,2007-03-19 17:46,5,1,0,5,0,5,b34475175,"Destinies : Canadian history since Confederation / R. Douglas Francis, Richard Jones, Donald B. Smith.",F1033.F73D4 1996,n
i47186379,kcstk,2014-06-18 10:07,10,6,0,20,0,20,b3458464x,"Destinies : Canadian history since Confederation / R. Douglas Francis, Richard Jones, Donald B. Smith.",F1033.F73D4 2000,n
i49295652,kcstk,2016-04-16 16:53,12,4,0,31,0,31,b35349013,"Destinies : Canadian history since Confederation / R. Douglas Francis, Richard Jones, Donald B. Smith.",F1033.F73D4 2004,n
i52998824,wstkg,2016-04-05 16:44,18,8,0,18,0,18,b35349013,"Destinies : Canadian history since Confederation / R. Douglas Francis, Richard Jones, Donald B. Smith.",F1033.F73D4 2004,n
i5623966x,hstk ,2014-04-17 15:12,14,4,0,14,0,14,b35349013,"Destinies : Canadian history since Confederation / R. Douglas Francis, Richard Jones, Donald B. Smith.",F1033.F73D4 2004,n
i62487917,kcstk,2016-04-04 16:25,4,0,0,17,0,17,b47594172,"Destinies : Canadian history since Confederation / R. Douglas Francis, Richard Jones, Donald B. Smith.",F1033.F73D4 2010,n
i60940359,kcstk,2010-05-08 12:56,3,2,0,4,0,4,b45554729,Toward today's Canada : Canadian history since Confederation.,F1033.F73D42 2008,n
i16527884,wstkg,2010-07-14 16:59,9,23,0,9,0,23,b15303056,"Canada first : a memorial of the late William A. Foster, Q.C. / with introduction by Goldwin Smith.",F1033.F75,n
i15427778,wstkg,  -  -  ,3,0,0,3,0,3,b14430368,The memoirs of the Rt. Hon. Sir George Foster / by W. Stewart Wallace.,F1033.F767,n
i1542778x,wstkg,2009-09-08 8:49,3,5,0,3,0,5,b14430368,The memoirs of the Rt. Hon. Sir George Foster / by W. Stewart Wallace.,F1033.F767,n
