RECORD #(ITEM),LOCATION,LOUTDATE,TOT CHKOUT,TOT RENEW,YTDCIRC,TOTAL CIRC,I TYPE,Circ,RECORD #(BIBLIO),245,99,IsText
i46034596,jstk ,2015-04-26 12:21,31,20,0,31,0,31,b33662290,No end of grief : Indian residential schools in Canada / Agnes Grant.,E96.5 G72 1996,n
i45997020,jstk ,2015-04-26 12:22,29,26,1,28,0,29,b3362558x,Shingwauk's vision : a history of native residential schools / J.R. Miller.,E96.5 M55 1996,n
i46060200,jstk ,2014-03-14 13:15,14,6,0,14,0,14,b33686592,"A national crime : the Canadian government and the residential school system, 1879 to 1986 / John S. Milloy.",E96.5 M56 1999,n
i58072639,wovrg,2008-04-03 13:05,3,6,0,3,0,6,b42596233,Hidden from history : the Canadian Holocaust : the untold story of the genocide of Aboriginal peoples by church and state in Canada / [by Kevin D. Annett].,E96.5.A55 2005,n
i63028104,hovr ,2016-01-22 16:24,8,13,1,7,0,13,b48065973,"Residential schools, prisons and HIV/AIDS among Aboriginal People in Canada : exploring the connections / prepared for the Aboriginal Healing Foundation by J. Kevin Barlow.",E96.5.B37 2009,n
i63292609,estkg,2015-03-23 11:54,13,2,0,13,0,13,b48437086,Indian residential schools : another picture / Eric Bays.,E96.5.B39 2009,n
i60680234,wovrg,2016-11-14 12:26,39,25,3,36,0,39,b45124607,"From truth to reconciliation : transforming the legacy of residential schools / prepared for the Aboriginal Healing Foundation by Marlene Brant Castellano, Linda Archibald, Mike DeGagn_©.",E96.5.C37 2008,n
i56285218,wovrg,2014-03-15 16:33,22,14,0,22,0,22,b41346336,"M_©tis history and experience and residential schools in Canada / by Larry N. Chartrand, Tricia E. Logan, Judy D. Daniels.",E96.5.C437 2006,n
i3481047x,wstkg,2009-03-23 16:10,71,48,0,71,0,71,b26473793,The circle game : shadows and substance in the Indian residential school experience in Canada / Roland D. Chrisjohn and Sherri L. Young   with contributions by Michael Maraun.,E96.5.C57 1997,n
i34970988,estkg,2010-02-19 8:52,52,27,0,52,0,52,b26473793,The circle game : shadows and substance in the Indian residential school experience in Canada / Roland D. Chrisjohn and Sherri L. Young   with contributions by Michael Maraun.,E96.5.C57 1997,n
i53524718,kcstk,2016-08-04 11:44,29,19,1,28,0,29,b39106500,The circle game : shadows and substance in the Indian residential school experience in Canada / Roland Chrisjohn and Sherri L. Young   with contributuions by Michael Maraun.,E96.5.C57 2006,n
i54000683,wstkg,2016-04-19 15:57,43,33,1,42,0,43,b39106500,The circle game : shadows and substance in the Indian residential school experience in Canada / Roland Chrisjohn and Sherri L. Young   with contributuions by Michael Maraun.,E96.5.C57 2006,n
i66998219,ckit2,2017-01-26 13:55,13,0,1,12,4,25,b52804781,Circle of life. A day at Indian residential schools in Canada [kit].,E96.5.C574 2011,n
i67239882,ckit2,2015-03-04 16:18,11,0,0,11,4,22,b52804781,Circle of life. A day at Indian residential schools in Canada [kit].,E96.5.C574 2011,n
i67239894,ckit2,2016-01-20 17:38,4,0,0,4,4,8,b52804781,Circle of life. A day at Indian residential schools in Canada [kit].,E96.5.C574 2011,n
i72022346,ckit2,2016-02-29 14:35,9,0,0,9,4,18,b58447192,Circle of life. An indigenous perspective of social studies and history curriculum [kit] / developed by the Indigenous Education Coalition.,E96.5.C5742 2011,n
i72022383,ckit2,2016-01-20 17:38,3,0,0,3,4,6,b58447192,Circle of life. An indigenous perspective of social studies and history curriculum [kit] / developed by the Indigenous Education Coalition.,E96.5.C5742 2011,n
i72741120,ckit2,2016-01-20 17:38,2,0,0,2,4,4,b58447192,Circle of life. An indigenous perspective of social studies and history curriculum [kit] / developed by the Indigenous Education Coalition.,E96.5.C5742 2011,n
i8031546x,ckit2,2015-03-04 16:17,2,0,0,2,4,4,b64194796,The day of the apology [videorecording] = Jour de la pr_©sentation des excuses.,E96.5.D39 2009,n
i84191594,ucirc,  -  -  ,0,0,0,0,17,0,b64194796,The day of the apology [videorecording] = Jour de la pr_©sentation des excuses.,E96.5.D39 2009,n
i3719754x,wstkg,2015-10-16 13:07,52,29,0,52,0,52,b2752307x,Sing the brave song / by Judith Ennamorato.,E96.5.E56 1999,n
i44700349,hstk ,2012-03-26 13:17,17,10,0,17,0,17,b2752307x,Sing the brave song / by Judith Ennamorato.,E96.5.E56 1999,n
i61799476,ckit2,2013-01-09 15:15,9,0,0,9,4,18,b46751440,The fallen feather [videorecording] : Indian industrial residential schools Canadian Confederation.,E96.5.F355 2007,n
i61824458,kdvd ,2013-10-07 14:48,10,0,0,10,17,20,b46751440,The fallen feather [videorecording] : Indian industrial residential schools Canadian Confederation.,E96.5.F355 2007,n
i62146178,ckit2,2015-02-11 14:17,8,0,0,8,4,16,b46751440,The fallen feather [videorecording] : Indian industrial residential schools Canadian Confederation.,E96.5.F355 2007,n
i62874494,ucirc,2012-07-11 11:01,3,0,0,3,17,6,b46751440,The fallen feather [videorecording] : Indian industrial residential schools Canadian Confederation.,E96.5.F355 2007,n
i62874500,ucirc,2012-07-11 11:01,5,0,0,5,17,10,b46751440,The fallen feather [videorecording] : Indian industrial residential schools Canadian Confederation.,E96.5.F355 2007,n
